balance_month,balance_year,product_barcode,total_consumption
10.0,2025.0, UHRDSLBTRPAD,0.0
10.0,2025.0,687106182122,0.0
10.0,2025.0,DFE201610P-2R2M=P2,0.0
10.0,2025.0,TCS34303     ,0.0
10.0,2025.0,TLV61070ADBVR,0.0
10.0,2025.0,UH0.2AA05,60.0
10.0,2025.0,UH0.2AA06,60.0
10.0,2025.0,UH0.2AA07,0.0
10.0,2025.0,UH0.2AA08,420.0
10.0,2025.0,UH0.2AA09,0.0
10.0,2025.0,UH0.2AA10,456.0
10.0,2025.0,UH0.2AA11,0.0
10.0,2025.0,UH0.2AA12,0.0
10.0,2025.0,UH0.2ACRMST05,0.0
10.0,2025.0,UH0.2ACRMST06,0.0
10.0,2025.0,UH0.2ACRMST07,0.0
10.0,2025.0,UH0.2ACRMST08,0.0
10.0,2025.0,UH0.2ACRMST09,0.0
10.0,2025.0,UH0.2ACRMST10,0.0
10.0,2025.0,UH0.2ACRMST11,0.0
10.0,2025.0,UH0.2ACRMST12,0.0
10.0,2025.0,UH0.2ACRMST13,0.0
10.0,2025.0,UH0.2ACRMST14,0.0
10.0,2025.0,UH0.2AG05,0.0
10.0,2025.0,UH0.2AG06,120.0
10.0,2025.0,UH0.2AG07,60.0
10.0,2025.0,UH0.2AG08,1.0
10.0,2025.0,UH0.2AG09,960.0
10.0,2025.0,UH0.2AS05,0.0
10.0,2025.0,UH0.2AS06,0.0
10.0,2025.0,UH0.2AS07,0.0
10.0,2025.0,UH0.2AS08,0.0
10.0,2025.0,UH0.2AS09,0.0
10.0,2025.0,UH0.2AS10,0.0
10.0,2025.0,UH0.2AS13,24.0
10.0,2025.0,UH0.2BB14,0.0
10.0,2025.0,UH0.2MACHINS05,0.0
10.0,2025.0,UH0.2MACHINS08,0.0
10.0,2025.0,UH0.2MACHINS09,2593.0
10.0,2025.0,UH0.2MACHINS10,0.0
10.0,2025.0,UH0.2MACHINS11,0.0
10.0,2025.0,UH0.2MACHINS12,0.0
10.0,2025.0,UH0.2MACHINS13,0.0
10.0,2025.0,UH0.2MG06,0.0
10.0,2025.0,UH0.2MG08,0.0
10.0,2025.0,UH0.2MG09,660.0
10.0,2025.0,UH0.2MG10,0.0
10.0,2025.0,UH0.2MG11,60.0
10.0,2025.0,UH0.2MG13,0.0
10.0,2025.0,UH0.2MIRROR05,0.0
10.0,2025.0,UH0.2MIRROR06,250.0
10.0,2025.0,UH0.2MIRROR07,0.0
10.0,2025.0,UH0.2MIRROR08,0.0
10.0,2025.0,UH0.2MIRROR09,0.0
10.0,2025.0,UH0.2MIRROR10,3459.0
10.0,2025.0,UH0.2MIRROR11,0.0
10.0,2025.0,UH0.2MIRROR12,0.0
10.0,2025.0,UH0.2MIRROR13,0.0
10.0,2025.0,UH0.2RT09,1812.0
10.0,2025.0,UH0.2RT11,1.0
10.0,2025.0,UH0.2RT13,36.0
10.0,2025.0,UH6063IAV52A,0.0
10.0,2025.0,UHACCSTM6DSO,23259.0
10.0,2025.0,UHACRPOLMSTS05,0.0
10.0,2025.0,UHACRPOLMSTS06,0.0
10.0,2025.0,UHACRPOLMSTS07,0.0
10.0,2025.0,UHACRPOLMSTS08,0.0
10.0,2025.0,UHACRPOLMSTS09,0.0
10.0,2025.0,UHACRPOLMSTS10,0.0
10.0,2025.0,UHACRPOLMSTS11,0.0
10.0,2025.0,UHACRPOLMSTS12,0.0
10.0,2025.0,UHACRPOLMSTS13,0.0
10.0,2025.0,UHACRPOLMSTS14,0.0
10.0,2025.0,UHACRSHTFLSH,0.0
10.0,2025.0,UHACRUNPOLMSTS05,0.0
10.0,2025.0,UHACRUNPOLMSTS06,0.0
10.0,2025.0,UHACRUNPOLMSTS08,0.0
10.0,2025.0,UHACRUNPOLMSTS09,0.0
10.0,2025.0,UHACRUNPOLMSTS11,0.0
10.0,2025.0,UHACRUNPOLMSTS12,0.0
10.0,2025.0,UHACRUNPOLMSTS13,0.0
10.0,2025.0,UHACRUNPOLMSTS14,0.0
10.0,2025.0,UHAIRBEADBS05,0.0
10.0,2025.0,UHAIRBEADBS07,0.0
10.0,2025.0,UHAIRBEADBS08,0.0
10.0,2025.0,UHAIRBEADBS09,0.0
10.0,2025.0,UHAIRBEADBS10,0.0
10.0,2025.0,UHAIRBEADBS11,0.0
10.0,2025.0,UHAIRBEADBS13,0.0
10.0,2025.0,UHAIRG0LDS06,420.0
10.0,2025.0,UHAIRG0LDS07,2133.0
10.0,2025.0,UHAIRG0LDS08,1200.0
10.0,2025.0,UHAIRG0LDS09,60.0
10.0,2025.0,UHAIRG0LDS12,0.0
10.0,2025.0,UHAIRG0LDS14,24.0
10.0,2025.0,UHAIRMACSHL06,0.0
10.0,2025.0,UHAIRMACSHL07,0.0
10.0,2025.0,UHAIRMACSHL09,970.0
10.0,2025.0,UHAIRMACSHL11,0.0
10.0,2025.0,UHAIRMACSHL12,0.0
10.0,2025.0,UHAIRMACSHL13,0.0
10.0,2025.0,UHAIRMIRSHEL06,410.0
10.0,2025.0,UHAIRMIRSHEL07,1828.0
10.0,2025.0,UHAIRMIRSHEL09,1350.0
10.0,2025.0,UHAIRMIRSHEL12,498.0
10.0,2025.0,UHAIRSILVS05,156.0
