Row Labels,PRODUCT_NAME,Sum of Restricted Inventory,Sum of Unrestricted Inventory
Coated Shells,UH0.2AA05,0.0,0.0
Coated Shells,UH0.2AA06,0.0,0.0
Coated Shells,UH0.2AA07,0.0,0.0
Coated Shells,UH0.2AA08,0.0,952643.66
Coated Shells,UH0.2AA09,0.0,329081.04
Coated Shells,UH0.2AA10,0.0,121881.65
Coated Shells,UH0.2AA11,0.0,1481362.03
Coated Shells,UH0.2AA12,0.0,399061.96
Coated Shells,UH0.2AA13,0.0,102585.21
Coated Shells,UH0.2AG05,0.0,1781719.02
Coated Shells,UH0.2AG06,0.0,6817607.14
Coated Shells,UH0.2AG07,0.0,4809371.45
Coated Shells,UH0.2AG08,0.0,606751.72
Coated Shells,UH0.2AG09,0.0,4518400.44
Coated Shells,UH0.2AG10,0.0,0.0
Coated Shells,UH0.2AS05,0.0,0.0
Coated Shells,UH0.2AS06,0.0,1024529.95
Coated Shells,UH0.2AS07,0.0,1176811.98
Coated Shells,UH0.2AS08,0.0,0.0
Coated Shells,UH0.2AS09,0.0,6520756.82
Coated Shells,UH0.2AS10,0.0,6078786.2
Coated Shells,UH0.2AS11,0.0,777791.1
Coated Shells,UH0.2AS12,0.0,1096749.48
Coated Shells,UH0.2AS13,0.0,1625634.08
Coated Shells,UH0.2AS14,0.0,1745884.88
Coated Shells,UH0.2MG06,0.0,0.0
Coated Shells,UH0.2MG07,0.0,698781.0
Coated Shells,UH0.2MG08,0.0,0.0
Coated Shells,UH0.2MG09,0.0,284329.83
Coated Shells,UH0.2MG10,0.0,1242060.0
Coated Shells,UH0.2MG11,0.0,0.0
Coated Shells,UH0.2MG13,0.0,0.0
Coated Shells,UH0.2RT05,0.0,198360.0
Coated Shells,UH0.2RT06,0.0,164160.0
Coated Shells,UH0.2RT09,0.0,204345.0
Coated Shells,UH0.3BRUSHAG14,0.0,0.0
Coated Shells,UHBRUSHARG05,0.0,5790.93
Coated Shells,UHBRUSHARG06,0.0,661130.07
Coated Shells,UHBRUSHARG07,0.0,88024.65
Coated Shells,UHBRUSHARG08,0.0,332875.09
Coated Shells,UHBRUSHARG09,0.0,56766.6
Coated Shells,UHBRUSHARG11,0.0,488652.77
Coated Shells,UHBRUSHARG13,0.0,0.0
Coated Shells,UHBRUSHARG14,0.0,22269.9
Coated Shells,UHRW0.3RTS09,312104.74,0.0
Others,UH0.2ACRMST05,113520.0,0.0
Others,UH0.2ACRMST06,11116.97,0.0
Others,UH0.2ACRMST07,13200.0,0.0
Others,UH0.2ACRMST08,76505.47,61741.26
Others,UH0.2ACRMST09,495.0,0.0
Others,UH0.2ACRMST10,89925.0,0.0
Others,UH0.2ACRMST11,25080.0,0.0
Others,UH0.2ACRMST13,3960.0,0.0
Others,UHACRPOLMSTS05,0.0,0.0
Others,UHACRPOLMSTS06,0.0,0.0
Others,UHACRPOLMSTS07,0.0,0.0
Others,UHACRPOLMSTS08,0.0,0.0
Others,UHACRPOLMSTS09,0.0,0.0
Others,UHACRPOLMSTS10,0.0,0.0
Others,UHACRPOLMSTS11,0.0,0.0
Others,UHACRPOLMSTS12,0.0,0.0
Others,UHACRPOLMSTS13,0.0,0.0
Others,UHACRPOLMSTS14,0.0,0.0
Others,UHAIRFGASS07-T1.62,0.0,3522.87
Others,UHALSHELLS05,0.0,0.0
Others,UHALSHELLS06,0.0,0.0
Others,UHALSHELLS08,0.0,0.0
Others,UHALSHELLS09,0.0,0.0
Others,UHALSHELLS10,0.0,0.0
Others,UHALSHELLS11,0.0,0.0
Others,UHALSHELLS12,0.0,0.0
Others,UHALSHELLS13,0.0,0.0
Others,UHALSHELLS14,0.0,0.0
Others,UHC3LGFGS05,3885.18,50507.28
Others,UHC3LGFGS08,3944.94,0.0
Others,UHC3LGFGS11,1296.09,1296.09
Others,UHC3LGFGS14,0.0,0.0
Others,UHC3LPFGS05,0.0,0.0
Others,UHC3LRFGS05,2478.5,0.0
Others,UHC3LRFGS06,0.0,0.0
Others,UHC3LRFGS07,0.0,0.0
Others,UHC3LRFGS08,0.0,6601.66
Others,UHC3LRFGS09,4082.41,0.0
Others,UHC3LRFGS10,0.0,0.0
Others,UHC3LRFGS11,226.27,452.53
Others,UHCH2.5FINISHS09,0.0,0.0
Others,UHCONSACETON,0.0,2367.38
Others,UHCONSACRVARNISH,7271.0,0.0
