date,product_name,vendor_name,inward_qty,return_qty,net_qty,avg_unit_price,total_value
2025-03-12,UHACCSTM6DSO,Ramakrishna Electro Components Pvt. Ltd.,20000.0,0.0,20000.0,146.0,2920000.0
2025-03-12,UHAIRG0LDS05,CN Innovations Limited,350.0,0.0,350.0,641.23,224431.2
2025-03-12,UHAIRG0LDS06,CN Innovations Limited,6650.0,0.0,6650.0,641.23,4264192.8
2025-03-12,UHAIRG0LDS07,CN Innovations Limited,3500.0,0.0,3500.0,641.23,2244312.0
2025-03-12,UHAIRG0LDS08,CN Innovations Limited,4200.0,0.0,4200.0,641.23,2693174.4
2025-03-12,UHAIRG0LDS09,CN Innovations Limited,2100.0,0.0,2100.0,641.23,1346587.2
2025-03-12,UHAIRG0LDS10,CN Innovations Limited,1050.0,0.0,1050.0,755.42,793195.2
2025-03-12,UHAIRSILVS06,CN Innovations Limited,700.0,0.0,700.0,606.1,424267.2
2025-03-12,UHAIRSILVS07,CN Innovations Limited,1050.0,0.0,1050.0,606.1,636400.8
2025-03-12,UHAIRSILVS08,CN Innovations Limited,1750.0,0.0,1750.0,606.1,1060668.0
2025-03-12,UHC2C1KPF50V,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,40000.0,0.0,40000.0,1.1,44000.0
2025-03-12,UHC2CUMO10MA,ARROW ELECTRONICS ASIA (S) PTE LTD,60000.0,0.0,60000.0,39.0,2340057.6
2025-03-12,UHCAPYAG10PF,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,105000.0,0.0,105000.0,0.25,26250.0
2025-03-12,UHCHA2BASS06,Aaru Plastics,2031.0,0.0,2031.0,250.0,507750.0
2025-03-12,UHCHA2BASS07,Aaru Plastics,217.0,0.0,217.0,250.0,54250.0
2025-03-12,UHCHA2BASS08,Aaru Plastics,874.0,0.0,874.0,250.0,218500.0
2025-03-12,UHCHA2BASS09,Aaru Plastics,1095.0,0.0,1095.0,250.0,273750.0
2025-03-12,UHCHARTOPS06,Aaru Plastics,6859.0,0.0,6859.0,38.0,260642.0
2025-03-12,UHCHARTOPS07,Aaru Plastics,5858.0,0.0,5858.0,38.0,222604.0
2025-03-12,UHCHARTOPS08,Aaru Plastics,6182.0,0.0,6182.0,38.0,234916.0
2025-03-12,UHCHARTOPS09,Aaru Plastics,706.0,0.0,706.0,38.0,26828.0
2025-03-12,UHCHARTOPS10,Aaru Plastics,57.0,0.0,57.0,38.0,2166.0
2025-03-12,UHCHARTOPS11,Aaru Plastics,27.0,0.0,27.0,38.0,1026.0
2025-03-12,UHDIOTEXI14V,ARROW ELECTRONICS ASIA (S) PTE LTD,60000.0,0.0,60000.0,3.16,189734.4
2025-03-12,UHICHANA4124,Macnica Cytech Pte Ltd,50000.0,40000.0,10000.0,245.07,2450736.0
2025-03-12,UHICHNRF5284,MILLENNIUM SEMICONDUCTORS INDIA PRIVATE LIMITED,42000.0,0.0,42000.0,149.0,6258000.0
2025-03-12,UHICHSTM32G0,Ramakrishna Electro Components Pvt. Ltd.,69000.0,0.0,69000.0,41.76,2881440.0
2025-03-12,UHICHTEXTLV7,ARROW ELECTRONICS ASIA (S) PTE LTD,30000.0,0.0,30000.0,2.11,63244.8
2025-03-12,UHICHTEXTMP1,ARROW ELECTRONICS ASIA (S) PTE LTD,54000.0,0.0,54000.0,11.77,635610.24
2025-03-12,UHICHTEXTPS2,ARROW ELECTRONICS ASIA (S) PTE LTD,6000.0,0.0,6000.0,15.72,94340.16
2025-03-12,UHICHTEXUCC2,ARROW ELECTRONICS ASIA (S) PTE LTD,57000.0,0.0,57000.0,47.87,2728749.6
2025-03-12,UHINDKYO15NH,"Swift Electrocomp Solutions Pvt Ltd.,",30000.0,0.0,30000.0,1.6,48000.0
2025-03-12,UHLROODALVR,OODA INDUSTRIAL PRODUCTS,50000.0,0.0,50000.0,8.35,417500.0
2025-03-12,UHLUXASBASE,METALRIPPER MANUFACTURING,60.0,0.0,60.0,1200.0,72000.0
2025-03-12,UHOPSANA61EF,Macnica Cytech Pte Ltd,40000.0,0.0,40000.0,265.1,10604044.8
2025-03-12,UHPLASIZRS05,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS06,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS07,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS08,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS09,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS10,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS11,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS12,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS13,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHPLASIZRS14,ZOEONE INDUSTRIES,12500.0,0.0,12500.0,3.5,43750.0
2025-03-12,UHRESYAG22MO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,30000.0,0.0,30000.0,5.95,178500.0
2025-03-12,UHRESYAG60KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,10000.0,0.0,10000.0,0.29,2900.0
2025-03-12,UHRGBTR24MAH,"Shenzhen Grepow Battery Co.,Ltd",23320.0,0.0,23320.0,342.58,7988872.32
2025-03-12,UHRSOODALVR,OODA INDUSTRIAL PRODUCTS,100000.0,0.0,100000.0,9.82,982100.0
2025-03-12,UHSENSMLX36V,MILLENNIUM SEMICONDUCTORS INDIA PRIVATE LIMITED,90000.0,0.0,90000.0,234.0,21060000.0
2025-03-12,UHSWATCHAA,Mudra innovation,15000.0,0.0,15000.0,12.2,183000.0
2025-03-12,UHSWATCHAG,Mudra innovation,15000.0,0.0,15000.0,12.2,183000.0
2025-03-12,UHSWATCHAS,Mudra innovation,15000.0,0.0,15000.0,12.2,183000.0
2025-03-12,UHSWATCHMG,Mudra innovation,15000.0,0.0,15000.0,12.2,183000.0
2025-03-12,UHSWATCHRT,Mudra innovation,15000.0,0.0,15000.0,12.0,180000.0
2025-03-13,UHAIRG0LDS05,CN Innovations Limited,1050.0,0.0,1050.0,641.23,673293.6
2025-03-13,UHAIRG0LDS06,CN Innovations Limited,1400.0,0.0,1400.0,641.23,897724.8
2025-03-13,UHAIRG0LDS07,CN Innovations Limited,1400.0,0.0,1400.0,641.23,897724.8
2025-03-13,UHAIRG0LDS08,CN Innovations Limited,1750.0,0.0,1750.0,641.23,1122156.0
2025-03-13,UHAIRG0LDS09,CN Innovations Limited,350.0,0.0,350.0,641.23,224431.2
2025-03-13,UHAIRG0LDS10,CN Innovations Limited,350.0,0.0,350.0,755.42,264398.4
2025-03-13,UHAIRSILVS07,CN Innovations Limited,700.0,0.0,700.0,606.1,424267.2
2025-03-13,UHAIRSILVS08,CN Innovations Limited,1050.0,0.0,1050.0,606.1,636400.8
2025-03-13,UHAIRSILVS09,CN Innovations Limited,1400.0,0.0,1400.0,606.1,848534.4
2025-03-13,UHCHA2BASS05,Aaru Plastics,833.0,0.0,833.0,250.0,208250.0
2025-03-13,UHCHA2BASS07,Aaru Plastics,1694.0,0.0,1694.0,250.0,423500.0
2025-03-13,UHCHA2BASS08,Aaru Plastics,2035.0,0.0,2035.0,250.0,508750.0
2025-03-13,UHCHA2BASS10,Aaru Plastics,999.0,0.0,999.0,250.0,249750.0
2025-03-14,UH0.2MIRROR05,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,181.0,0.0,181.0,530.0,95930.0
2025-03-14,UH0.2MIRROR06,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,71.0,0.0,71.0,530.0,37630.0
2025-03-14,UH0.2MIRROR07,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,59.0,0.0,59.0,530.0,31270.0
2025-03-14,UH0.2MIRROR08,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,974.0,0.0,974.0,530.0,516220.0
2025-03-14,UH0.2MIRROR09,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,206.0,0.0,206.0,530.0,109180.0
2025-03-14,UH0.2MIRROR10,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,301.0,0.0,301.0,530.0,159530.0
2025-03-14,UHC2RES0OM42,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,60000.0,0.0,60000.0,0.11,6600.0
2025-03-14,UHC2RES0OM85,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,20000.0,0.0,20000.0,0.3,6000.0
2025-03-14,UHC2RES27OHM,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,40000.0,0.0,40000.0,0.25,10000.0
2025-03-14,UHCHA2BASS06,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,1008.0,0.0,1008.0,260.0,262080.0
2025-03-14,UHCHA2BASS07,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,3024.0,0.0,3024.0,260.0,786240.0
2025-03-14,UHCHA2BASS08,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,2016.0,0.0,2016.0,260.0,524160.0
2025-03-14,UHCHA2BASS09,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,462.0,0.0,462.0,260.0,120120.0
2025-03-14,UHCHA2BASS10,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,1008.0,0.0,1008.0,260.0,262080.0
2025-03-14,UHCHARTOPS05,Aaru Plastics,193.0,0.0,193.0,38.0,7334.0
2025-03-14,UHCHARTOPS06,Aaru Plastics,611.0,0.0,611.0,38.0,23218.0
2025-03-14,UHCHARTOPS07,Aaru Plastics,2420.0,0.0,2420.0,38.0,91960.0
2025-03-14,UHCHARTOPS08,Aaru Plastics,2569.0,0.0,2569.0,38.0,97622.0
2025-03-14,UHCHARTOPS09,Aaru Plastics,99.0,0.0,99.0,38.0,3762.0
2025-03-14,UHCHARTOPS10,Aaru Plastics,461.0,0.0,461.0,38.0,17518.0
2025-03-14,UHCHARTOPS11,Aaru Plastics,99.0,0.0,99.0,38.0,3762.0
2025-03-14,UHCHARTOPS13,Aaru Plastics,224.0,0.0,224.0,38.0,8512.0
2025-03-14,UHIND2213A156,UNIVERSAL COMPONENTS,114000.0,0.0,114000.0,11.45,1305300.0
2025-03-14,UHPLASIZRS05,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS06,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS07,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS08,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS09,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS10,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS11,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS12,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS13,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHPLASIZRS14,ZOEONE INDUSTRIES,2500.0,0.0,2500.0,3.5,8750.0
2025-03-14,UHRESYAG0OHM,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,20000.0,0.0,20000.0,0.3,6000.0
2025-03-14,UHRESYAG100K,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,430000.0,0.0,430000.0,0.48,206400.0
2025-03-14,UHRESYAG10KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,50000.0,0.0,50000.0,0.29,14500.0
2025-03-14,UHRESYAG22KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,40000.0,0.0,40000.0,0.29,11600.0
2025-03-14,UHRESYAG22OH,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,20000.0,0.0,20000.0,0.43,8600.0
2025-03-14,UHRESYAG27KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,20000.0,0.0,20000.0,0.29,5800.0
2025-03-14,UHRESYAG47KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,20000.0,0.0,20000.0,0.29,5800.0
2025-03-14,UHRESYAG60KO,SEMISEARCH TECHNOLOGIES PRIVATE LIMITED,10000.0,0.0,10000.0,0.29,2900.0
2025-03-15,UH0.2MIRROR05,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,12.0,0.0,12.0,530.0,6360.0
2025-03-15,UH0.2MIRROR06,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,16.0,0.0,16.0,530.0,8480.0
2025-03-15,UH0.2MIRROR07,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,30.0,0.0,30.0,530.0,15900.0
2025-03-15,UH0.2MIRROR08,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,88.0,0.0,88.0,530.0,46640.0
2025-03-15,UH0.2MIRROR09,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,2.0,0.0,2.0,530.0,1060.0
2025-03-15,UH0.2MIRROR10,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,1.0,0.0,1.0,530.0,530.0
2025-03-15,UHACCSTM6DSO,Ramakrishna Electro Components Pvt. Ltd.,70000.0,0.0,70000.0,146.0,10220000.0
2025-03-15,UHAIRSILVS05,CN Innovations Limited,700.0,0.0,700.0,606.1,424267.2
2025-03-15,UHAIRSILVS06,CN Innovations Limited,1050.0,0.0,1050.0,606.1,636400.8
2025-03-15,UHAIRSILVS07,CN Innovations Limited,1750.0,0.0,1750.0,606.1,1060668.0
2025-03-15,UHAIRSILVS08,CN Innovations Limited,1050.0,0.0,1050.0,606.1,636400.8
2025-03-15,UHAIRSILVS09,CN Innovations Limited,700.0,0.0,700.0,606.1,424267.2
2025-03-15,UHC2068NF50V,"Swift Electrocomp Solutions Pvt Ltd.,",100000.0,0.0,100000.0,0.91,91000.0
2025-03-15,UHCHA2BASS07,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,1008.0,0.0,1008.0,260.0,262080.0
2025-03-15,UHCHA2BASS08,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,1008.0,0.0,1008.0,260.0,262080.0
2025-03-15,UHCHA2BASS09,Aaru Plastics,207.0,0.0,207.0,250.0,51750.0
2025-03-15,UHICHNRF5284,MILLENNIUM SEMICONDUCTORS INDIA PRIVATE LIMITED,7000.0,0.0,7000.0,149.0,1043000.0
2025-03-15,UHIND2213A156,UNIVERSAL COMPONENTS,51000.0,0.0,51000.0,11.45,583950.0
2025-03-15,UHLUXASBASE,METALRIPPER MANUFACTURING,66.0,0.0,66.0,1200.0,79200.0
2025-03-15,UHPLASIZRS05,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS06,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS07,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS08,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS09,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS10,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS11,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS12,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS13,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPLASIZRS14,ZOEONE INDUSTRIES,3500.0,0.0,3500.0,3.5,12250.0
2025-03-15,UHPRC3CALBBB,HANAV MANUFACTURING AND BUSINESS PRIVATE LIMITED,11500.0,0.0,11500.0,218.0,2507000.0
2025-03-15,UHRESBOU01BO,"Swift Electrocomp Solutions Pvt Ltd.,",90000.0,0.0,90000.0,0.3,27000.0
2025-03-15,UHRGBTR24MAH,"Shenzhen Grepow Battery Co.,Ltd",56320.0,0.0,56320.0,342.58,19293880.32
2025-03-15,UHRGBTR32MAH,"Shenzhen Grepow Battery Co.,Ltd",32560.0,0.0,32560.0,307.44,10010246.4
2025-03-15,UHTAPEBATPCB,"Shenzhen JDB Technology Co., Ltd.",60000.0,0.0,60000.0,4.86,291611.23
2025-03-16,UHACCSTM6DSO,Ramakrishna Electro Components Pvt. Ltd.,30000.0,0.0,30000.0,146.0,4380000.0
2025-03-16,UHAIRG0LDS05,CN Innovations Limited,1050.0,0.0,1050.0,641.23,673293.6
2025-03-16,UHAIRG0LDS07,CN Innovations Limited,8051.0,0.0,8051.0,641.23,5162558.83
2025-03-16,UHAIRG0LDS08,CN Innovations Limited,1050.0,0.0,1050.0,641.23,673293.6
2025-03-16,UHAIRG0LDS09,CN Innovations Limited,3850.0,0.0,3850.0,641.23,2468743.2
