date: Day,product_name,vendor_name,lot_name,references,Sum of inward_qty,Sum of return_qty_by_lot,Sum of net_qty,Average of unit_price_inr
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000097,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000098,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000099,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000100,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000101,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000102,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000103,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000104,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000105,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000106,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000107,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS05,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA05-0000108,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000541,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000542,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000543,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000544,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000545,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000546,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
2026-01-18,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000547,UH/REC-SUB-3D/02673,1.0,0.0,1.0,380.0
